0000001;I;0001537
0000002;I;0001613
0000003;O;0001312
0000004;I;0000513
0000005;I;0000324
0000006;I;0001471
0000007;M;0000467
0000008;O;0000743
0000009;I;0000344
0000010;I;0000018
0000011;I;0001958
0000012;O;0000029
0000013;O;0001525
0000014;I;0001385
0000015;M;0000613
0000016;O;0000396
0000017;I;0000795
0000018;I;0000954
0000019;I;0000605
0000020;O;0000961
0000021;O;0001568
0000022;I;0001982
0000023;M;0000363
0000024;O;0000196
0000025;I;0001650
0000026;I;0001082
0000027;I;0000417
0000028;O;0001865
0000029;O;0001920
0000030;I;0000713
0000031;M;0000819
0000032;O;0001457
0000033;I;0000326
0000034;I;0000130
0000035;I;0001971
0000036;O;0000650
0000037;O;0001602
0000038;I;0000437
0000039;M;0001394
0000040;O;0001947
0000041;I;0000455
0000042;I;0001352
0000043;I;0001976
0000044;O;0001980
0000045;O;0000736
0000046;I;0000589
0000047;M;0000376
0000048;O;0001531
0000049;I;0001543
0000050;I;0000981
0000051;I;0000492
0000052;O;0001111
0000053;O;0000963
0000054;I;0000856
0000055;M;0001307
0000056;O;0000613
0000057;I;0001939
0000058;I;0001725
0000059;I;0000477
0000060;O;0001859
0000061;O;0000437
0000062;I;0001297
0000063;M;0001315
0000064;O;0000764
0000065;I;0001428
0000066;I;0001285
0000067;I;0001415
0000068;O;0001029
0000069;O;0001722
0000070;I;0000808
0000071;M;0000975
0000072;O;0000177
0000073;I;0000160
0000074;I;0000951
0000075;I;0000157
0000076;O;0000896
0000077;O;0001541
0000078;I;0000533
0000079;M;0000427
0000080;O;0001083
0000081;I;0001515
0000082;I;0000920
0000083;I;0000194
0000084;O;0000477
0000085;O;0001776
0000086;I;0001502
0000087;M;0001091
0000088;O;0001715
0000089;I;0001226
0000090;I;0001568
0000091;I;0001573
0000092;O;0001664
0000093;O;0000865
0000094;I;0000888
0000095;M;0000427
0000096;O;0000292
0000097;I;0000172
0000098;I;0001842
0000099;I;0001322
0000100;O;0001895
0000101;O;0000650
0000102;I;0000297
0000103;M;0000072
0000104;O;0000810
0000105;I;0001249
0000106;I;0000229
0000107;I;0001707
0000108;O;0000789
0000109;O;0000763
0000110;I;0000133
0000111;M;0001873
0000112;O;0000277
0000113;I;0001054
0000114;I;0000066
0000115;I;0000755
0000116;O;0000830
0000117;O;0001569
0000118;I;0001846
0000119;M;0000544
0000120;O;0000794
0000121;I;0001414
0000122;I;0000116
0000123;I;0000457
0000124;O;0000279
0000125;O;0001005
0000126;I;0000885
0000127;M;0000572
0000128;O;0001178
0000129;I;0000727
0000130;I;0001894
0000131;I;0001072
0000132;O;0001377
0000133;O;0000191
0000134;I;0001145
0000135;M;0000187
0000136;O;0001440
0000137;I;0001374
0000138;I;0001894
0000139;I;0000229
0000140;O;0000137
0000141;O;0000027
0000142;I;0000102
0000143;M;0000414
0000144;O;0001081
0000145;I;0000169
0000146;I;0001170
0000147;I;0001911
0000148;O;0001738
0000149;O;0001015
0000150;I;0000455
0000151;M;0000531
0000152;O;0000429
0000153;I;0000572
0000154;I;0000989
0000155;I;0000708
0000156;O;0001577
0000157;O;0001875
0000158;I;0001280
0000159;M;0000754
0000160;O;0000601
0000161;I;0001174
0000162;I;0001827
0000163;I;0001978
0000164;O;0001365
0000165;O;0000971
0000166;I;0000165
0000167;M;0000805
0000168;O;0000344
0000169;I;0000058
0000170;I;0001035
0000171;I;0000482
0000172;O;0000086
0000173;O;0001137
0000174;I;0000896
0000175;M;0001168
0000176;O;0001307
0000177;I;0000065
0000178;I;0001078
0000179;I;0001045
0000180;O;0001081
0000181;O;0001534
0000182;I;0001576
0000183;M;0001510
0000184;O;0000105
0000185;I;0000565
0000186;I;0000217
0000187;I;0001682
0000188;O;0000439
0000189;O;0001498
0000190;I;0000436
0000191;M;0001041
0000192;O;0000671
0000193;I;0000262
0000194;I;0001019
0000195;I;0000035
0000196;O;0001233
0000197;O;0001184
0000198;I;0000841
0000199;M;0001578
0000200;O;0001243
0000201;I;0001876
0000202;I;0000059
0000203;I;0001329
0000204;O;0001013
0000205;O;0000956
0000206;I;0000496
0000207;M;0000320
0000208;O;0001022
0000209;I;0001575
0000210;I;0001365
0000211;I;0000103
0000212;O;0001108
0000213;O;0000941
0000214;I;0001613
0000215;M;0001214
0000216;O;0001506
0000217;I;0001831
0000218;I;0000895
0000219;I;0001946
0000220;O;0001328
0000221;O;0001332
0000222;I;0000987
0000223;M;0002000
0000224;O;0001594
0000225;I;0000005
